Pct_Delta,PCT_Change,M_P_A,M_P_B,M_P_C,M_P_D,M_P_E,M_P_F,TlncT_P_A,TlncT_P_B,TlncT_P_C,TlncT_P_D,TlncT_P_E,TlncT_P_F,CPT_P_A,CPT_P_B,CPT_P_C,CPT_P_D,CPT_P_E,CPT_P_F,MCPT_P_A,MCPT_P_B,MCPT_P_C,MCPT_P_D,MCPT_P_E,MCPT_P_F,nMCPT_P_A,nMCPT_P_B,nMCPT_P_C,nMCPT_P_D,nMCPT_P_E,nMCPT_P_F,nMTIncT_P_A,nMTIncT_P_B,nMTIncT_P_C,nMTIncT_P_D,nMTIncT_P_E,nMTIncT_P_F
0.230769231,1.3,57436.35487,25308.40785,6661.833659,819.442,16226.10301,25535.61787,34914.58796,17486.94643,2073.155413,287.4147553,6010.45381,19136.29017,1.645053206,1.447274283,3.213378802,2.851078398,2.699646902,1.334407957,5.203980389,4.15757129,5.628059233,4.880350994,4.728285586,4.364723462,5.065306498,4.052298969,5.534783807,4.802088041,4.649922365,4.248770777,2267.833344,1249.088877,240.726066,34.12857045,697.9085557,1202.023795
0.214285714,1.4,61854.53602,27255.20846,7174.282402,882.476,17474.26478,27499.89617,35763.58831,17955.20072,2164.207892,300.3306296,6274.431472,19586.32517,1.729539427,1.517956211,3.314969153,2.938348317,2.784995718,1.404035516,5.460327773,4.352023938,5.799638594,5.024268584,4.872434072,4.578881499,5.32414517,4.24890994,5.709764929,4.948940503,4.796928763,4.465105678,2323.548064,1282.927096,251.2986959,35.66322931,728.5605288,1231.769107
0.2,1.5,66272.71716,29202.00906,7686.731145,945.51,18722.42655,29464.17447,36572.73042,18402.53296,2252.566629,312.8765353,6530.599488,20015.31166,1.812080104,1.586847263,3.41243231,3.021990764,2.866877166,1.472081723,5.710877427,4.541632042,5.964473294,5.162394381,5.010916185,4.78802461,5.57694065,4.4404635,5.877637295,5.089685087,4.937962902,4.676215146,2376.669264,1315.26851,261.5585399,37.15396862,758.3056788,1260.171893
0.1875,1.6,70690.8983,31148.80966,8199.179888,1008.544,19970.58832,31428.45276,37346.37356,18831.18957,2338.483477,325.0867609,6779.688022,20425.55982,1.892845049,1.654107381,3.506195348,3.102384106,2.945650044,1.538682565,5.95612172,4.726816781,6.123240613,5.295314736,5.144300927,4.992575667,5.82422087,4.627412106,6.039136508,5.224959023,5.073642781,4.882552385,2427.479997,1346.273423,271.534842,38.60485778,787.2287893,1287.378006
0.176470588,1.7,75109.07945,33095.61027,8711.628631,1071.578,21218.75009,33392.73106,38088.16182,19243.0525,2422.172617,336.9904915,7022.318029,20818.99968,1.971979635,1.7198732,3.596617586,3.179846396,3.021616224,1.603954636,6.196483896,4.907939458,6.276513294,5.42352507,5.273069473,5.192898502,6.066437766,4.810142228,6.194881463,5.355297953,5.204488353,5.084505718,2476.216928,1376.076162,281.2524722,40.01936062,815.4019627,1313.509431
0.166666667,1.8,79527.26059,35042.41087,9224.077374,1134.612,22466.91186,35357.00936,38801.17604,19639.71603,2503.818066,348.6128218,7259.023003,21197.26209,2.049609541,1.784262604,3.684004641,3.254647933,3.095032465,1.667998877,6.432331188,5.085312956,6.424780686,5.547448318,5.397632941,5.389309054,6.303982017,4.988987265,6.345398562,5.481157076,5.330941861,5.282411123,2523.080186,1404.790552,290.7327974,41.40045557,842.8871463,1338.669352
0.157894737,1.9,83945.44174,36989.21148,9736.526117,1197.646,23715.07363,37321.28766,39488.04694,20022.54411,2583.579348,359.9755235,7490.265435,21561.73893,2.125844356,1.847378199,3.768618961,3.32702065,3.166119256,1.73090342,6.663984868,5.259210492,6.568464711,5.66744886,5.518345797,5.582083931,6.537194276,5.164237359,6.491139852,5.60292698,5.453383081,5.476561785,2568.240691,1432.513996,299.9943412,42.75072669,869.7380426,1362.945918
0.2,2,88363.62288,38936.01208,10248.97486,1260.68,24963.2354,39285.56595,40151.04082,20392.71386,2661.595865,371.0976353,7716.44948,21913.62871,2.20078038,1.90930998,3.85068785,3.397165274,3.235067561,1.792745806,6.891728065,5.42987243,6.70793211,5.783843186,5.635516151,5.771467071,6.766373857,5.33614697,6.632496843,5.720945691,5.572140932,5.667215501,2611.845717,1459.330573,309.0532903,44.07243376,896.0015802,1386.415108
0.238095238,2.1,92781.80402,40882.81268,10761.4236,1323.714,26211.39717,41249.84425,40792.12548,20751.24909,2737.990309,381.9959252,7937.930837,22253.97169,2.27450281,1.970137436,3.930409676,3.465256859,3.302044035,1.853594712,7.115811938,5.597511636,6.843503983,5.896908207,5.749413768,5.95767501,6.99178556,5.504940824,6.769811208,5.83550799,5.687502464,5.854600492,2654.02316,1485.31343,317.923891,45.36756705,921.7190617,1409.142923
0.227272727,2.2,97199.98517,42829.61329,11273.87235,1386.748,27459.55894,43214.12255,41413.02176,21099.0466,2812.871356,392.6852556,8155.024583,22583.6772,2.347087487,2.029931214,4.007958744,3.531449119,3.367195115,1.913511346,7.336460605,5.762317758,6.97546331,6.006887799,5.860276386,6.140901089,7.21366509,5.670818628,6.903383174,5.946872727,5.799719904,6.038920034,2694.884887,1510.526649,326.6187625,46.63789066,946.9270721,1431.18711
