Media,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
A,973000,973000,0,712000,731000,511000,802000,1090000,0,0,363000,726000
B,235000,235000,105000,235000,378000,178000,237000,298000,99000,235000,78000,37000
C,48000,47000,47000,48000,46000,45000,45000,45000,43000,45000,45000,46000
D,11000,11000,0,11000,11000,11000,0,11000,0,0,11000,0
E,171000,144000,232000,187000,166000,177000,130000,135000,125000,148000,158000,153000
F,282000,282000,108000,280000,283000,192000,243000,268000,139000,184000,158000,216000
